,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
267,PZG,Paramount Gold Nevada Corp.,1.44,33230000.0,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/pzg
268,TEUM,Pareteum Corporation,2.29,116800000.0,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/teum
269,PRK,Park National Corporation,103.15,1580000000.0,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/prk
270,PED,Pedevco Corp.,0.3099,2260000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ped
271,PFNX,Pfenex Inc.,5.4,127350000.0,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/pfnx
272,HNW,Pioneer Diversified High Income Trust,14.92,124330000.0,2007,n/a,n/a,https://www.nasdaq.com/symbol/hnw
273,PLG,Platinum Group Metals Ltd.,0.2601,39250000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plg
274,PLYM,"Plymouth Industrial REIT, Inc.",17.2416,65850000.0,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/plym
275,PLYM^A,"Plymouth Industrial REIT, Inc.",24.3061,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/plym^a
276,PLM,Polymet Mining Corp.,0.8939,286240000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/plm
277,PW,Power REIT,6.15,11240000.0,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/pw
278,PW^A,Power REIT,25.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pw^a
279,PLX,"Protalix BioTherapeutics, Inc.",0.4599,66950000.0,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/plx
280,RLGT,"Radiant Logistics, Inc.",4.04,199340000.0,n/a,Transportation,Oil Refining/Marketing,https://www.nasdaq.com/symbol/rlgt
281,RLGT^A,"Radiant Logistics, Inc.",25.72,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rlgt^a
282,RFL,"Rafael Holdings, Inc.",5.88,73070000.0,2018,Finance,Real Estate,https://www.nasdaq.com/symbol/rfl
283,UTG,Reaves Utility Income Fund,28.01,1360000000.0,2004,n/a,n/a,https://www.nasdaq.com/symbol/utg
284,REED,"Reeds, Inc.",2.35,58800000.0,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/reed
285,RHE,"Regional Health Properties, Inc.",0.3451,6860000.0,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/rhe
286,RHE^A,"Regional Health Properties, Inc.",7.02,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rhe^a
287,RWC,RELM Wireless Corporation,3.95,54690000.0,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/rwc
288,RCG,"RENN Fund, Inc.",1.43,6380000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rcg
289,RVP,"Retractable Technologies, Inc.",0.881,28780000.0,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/rvp
290,RNN,"Rexahn Pharmaceuticals, Inc.",1.62,51430000.0,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rnn
291,REI,"Ring Energy, Inc.",13.18,795910000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/rei
292,RIF,RMR Real Estate Income Fund,16.68,170170000.0,n/a,n/a,n/a,https://www.nasdaq.com/symbol/rif
293,SACH,Sachem Capital Corp.,3.56,54890000.0,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/sach
294,SGA,"Saga Communications, Inc.",36.55,217160000.0,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/sga
295,SNMP,Sanchez Midstream Partners LP,12.4,188180000.0,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/snmp
296,SAND          ,Sandstorm Gold Ltd,4.71,865680000.0,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/sand
297,SEB,Seaboard Corporation,4185.28,4900000000.0,1996,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/seb
298,SENS,"Senseonics Holdings, Inc.",3.72,510380000.0,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sens
299,SVT,"Servotronics, Inc.",9.4625,23510000.0,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/svt
