,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
91,NCV,AllianzGI Convertible & Income Fund,6.88,611850000,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv
92,NCZ,AllianzGI Convertible & Income Fund II,6.02,451600000,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz
93,ACV,AllianzGI Diversified Income & Convertible Fund,22.83,234580000,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv
94,NIE,AllianzGI Equity & Convertible Income Fund,20.59,570530000,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie
95,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.53,1190000000,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj
96,ALSN,"Allison Transmission Holdings, Inc.",38.24,5290000000,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn
97,ALL,Allstate Corporation (The),95.9,33870000000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all
98,ALL^A,Allstate Corporation (The),25.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a
99,ALL^B,Allstate Corporation (The),26.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b
100,ALL^C,Allstate Corporation (The),25.59,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^c
101,ALL^D,Allstate Corporation (The),25.8601,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d
102,ALL^E,Allstate Corporation (The),25.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e
103,ALL^F,Allstate Corporation (The),25.93,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f
104,ALL^G,Allstate Corporation (The),25.17,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g
105,ALLY,Ally Financial Inc.,26.62,11540000000,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ally
106,ALLY^A,Ally Financial Inc.,26,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a
107,AGD,Alpine Global Dynamic Dividend Fund,10.45,131140000,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd
108,AWP,Alpine Global Premier Properties Fund,6.21,530380000,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp
109,AOD,Alpine Total Dynamic Dividend Fund,8.81,947900000,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod
110,AYX,"Alteryx, Inc.",32.56,1960000000,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx
111,ATUS,"Altice USA, Inc.",18.5,13640000000,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus
112,MO,Altria Group,63.85,1.21E+11,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo
113,ACH,Aluminum Corporation of China Limited,13.65,8140000000,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach
114,AMBR,"Amber Road, Inc.",8.97,245080000,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr
115,ABEV,Ambev S.A.,6.86,1.08E+11,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
116,AMC,"AMC Entertainment Holdings, Inc.",16.45,2100000000,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc
117,AEE,Ameren Corporation,57.13,13900000000,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee
118,AMRC,"Ameresco, Inc.",12.55,568780000,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc
119,AMOV,"America Movil, S.A.B. de C.V.",19.31,63780000000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov
120,AMX,"America Movil, S.A.B. de C.V.",19.44,64210000000,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx
121,AAT,"American Assets Trust, Inc.",34.43,1630000000,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
122,AXL,"American Axle & Manufacturing Holdings, Inc.",15.8,1760000000,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl
123,ACC,American Campus Communities Inc,38.72,5290000000,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc
124,AEO,"American Eagle Outfitters, Inc.",21.04,3740000000,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo
125,AEP,"American Electric Power Company, Inc.",68.53,33740000000,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep
126,AEL,American Equity Investment Life Holding Company,28.86,2590000000,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael
127,AXP,American Express Company,91.91,79060000000,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp
128,AFG,"American Financial Group, Inc.",109.67,9700000000,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg
