,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
106,ALKS,Alkermes plc,42.18,6590000000,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks
107,ABTX,"Allegiance Bancshares, Inc.",40.2,534040000,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx
108,ALGT,Allegiant Travel Company,172.5,2770000000,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt
109,ALNA,"Allena Pharmaceuticals, Inc.",12.67,262210000,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna
110,AHGP,"Alliance Holdings GP, L.P.",24.32,1460000000,2006,Energy,Coal Mining,https://www.nasdaq.com/symbol/ahgp
111,AMMA,"Alliance MMA, Inc.",0.4898,6200000,2016,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/amma
112,ARLP,"Alliance Resource Partners, L.P.",16.85,2210000000,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp
113,AHPI,"Allied Healthcare Products, Inc.",2.4602,9870000,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi
114,AMOT,"Allied Motion Technologies, Inc.",38.09,359070000,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot
115,ALQA,"Alliqua BioMedical, Inc.",2.1689,10860000,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/alqa
116,ALLT,Allot Communications Ltd.,5.17,173650000,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt
117,MDRX,"Allscripts Healthcare Solutions, Inc.",12.13,2190000000,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx
118,ALNY,"Alnylam Pharmaceuticals, Inc.",95.08,9520000000,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny
119,AOSL,Alpha and Omega Semiconductor Limited,15.3,366410000,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl
120,GOOG,Alphabet Inc.,1007.04,7.00E+11,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog
